


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
27,,PMGSY-I,REO Road Nimuia - Dhumnagar-Pokhariya,BR-11R-228,East Champaran,Bankatwa,2.169,1.349,,1.349,,1.349,0,0,0,0.00,0.00,0.00,-
28,,PMGSY-I,T02 - Narha Panapur,BR-11R-373,East Champaran,Tetaria,2.957,2.957,,2.957,,2.957,0,0,0,0.00,0.00,0.00,-
29,,PMGSY-I,KHIJIR SARAI RAJGIR RD - PIYAR,BR1225,Gaya,Atri,5.5,5.5,,5.5,,5.500,0,0,0,0.00,0.00,0.00,-
30,,PMGSY-I,Jhethiyan Jamuaiwan Road  - Pakari,BR-12R-019,Gaya,Mohra,1.939,1.814,,1.939,,1.814,0,0.125,0,0.00,0.00,0.00,-
31,,PMGSY-I,Nauwa Bigha - Azad bigha,BR12R103,Gaya,Paraiya,2.756,0,,2.756,,0.000,0,2.756,0,58.51,58.51,0.00,-
32,,PMGSY-I,Gaya Tekari Road   - Maharaj Bigha,BR-12R-197,Gaya,Gaya sadar,2.741,2.741,,0.741,,0.741,0,0,0,0.00,0.00,0.00,-
33,,PMGSY-I,L030-TO1 G.T ROAD TO TETARIYA (VR7),BR12R285,Gaya,Barachatti,4.014,4.014,,4.014,,4.014,0,0,0,0.00,0.00,0.00,-
34,,PMGSY-I,L058 - Koiri Bigha to Turi (VR58),BR12R457,Gaya,Belaganj,1.122,1.122,,1.122,,1.122,0,0,0,0.00,0.00,0.00,-
35,,PMGSY-I,L048 - Anti T04 to Fatehpur (VR48),BR12R550,Gaya,Konch,8.715,0,,0,,0.000,0,0,0,193.89,193.89,0.00,-
36,,PMGSY-I,"L028-Rakasiya Noni Road, L023 to Chhora Bazipur (VR28) ",BR12R820,Gaya,Tekari,1.164,1.164,,1.164,,1.164,0,0,0,0.00,0.00,0.00,-
37,,PMGSY-I,L025-SELARI BINDA ROAD TO PIPRADIH (VR51) ,BR12R901,Gaya,Barachatti,0.968,0,,0,,0.000,0,0,0,0.00,0.00,0.00,-
38,,PMGSY-I,"L080-Sahawara, L077 to Idinpur (VR80) ",BR12R962,Gaya,Tekari,1.172,1.172,,1.172,,1.172,0,0,0,0.00,0.00,0.00,-
39,,PMGSY-I,L029-T01 TO SISIATARI (VR10) ,BR12R991,Gaya,Barachatti,13.221,13.221,,13.221,,13.221,0,0,0,0.00,0.00,0.00,-
40,,PMGSY-I,L078-T01 TO  BHUPNAGAR,BR12R-1021,Gaya,Amas,3.63,3.63,,3.63,,3.630,0,0,0,0.00,0.00,0.00,-
41,,PMGSY-I,L077-L044 to Pathlutia,BR12R-1023,Gaya,Banke Bazar,1.029,0.229,,0.229,,0.229,0,0,0,0.00,0.00,0.00,-
42,,PMGSY-I,L078-L044 to Kasianwa,BR12R-1024,Gaya,Banke Bazar,1.171,0.251,,0.251,,0.251,0,0,0,0.00,0.00,0.00,-
